acc,pre,rec,f1
0.8658536585365854,0.6666666666666666,0.3076923076923077,0.42105263157894735
0.9390243902439024,1.0,0.8888888888888888,0.9411764705882353
0.8902439024390244,1.0,0.4375,0.6086956521739131
0.9634146341463414,1.0,0.7272727272727273,0.8421052631578948
0.8414634146341463,0.6,0.5625,0.5806451612903225
0.7682926829268293,0.5,0.3684210526315789,0.4242424242424242
0.8414634146341463,0.6842105263157895,0.65,0.6666666666666667
0.9146341463414634,0.7333333333333333,0.7857142857142857,0.7586206896551724
0.9024390243902439,1.0,0.2727272727272727,0.42857142857142855
0.9634146341463414,1.0,0.7272727272727273,0.8421052631578948
0.8658536585365854,0.8333333333333334,0.3333333333333333,0.47619047619047616
0.9512195121951219,1.0,0.6363636363636364,0.7777777777777778
0.926829268292683,0.9285714285714286,0.9285714285714286,0.9285714285714286
0.926829268292683,0.9512195121951219,0.9069767441860465,0.9285714285714286
0.8536585365853658,0.9230769230769231,0.8955223880597015,0.9090909090909091
